Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-06-29,8997.35,8997.35,8997.35,8997.35,0,0,0
1998-06-30,8952.01,8952.01,8952.01,8952.01,0,0,0
1998-07-01,9048.66,9048.66,9048.66,9048.66,0,0,0
1998-07-02,9025.25,9025.25,9025.25,9025.25,0,0,0
1998-07-06,9091.76,9091.76,9091.76,9091.76,0,0,0
1998-07-07,9085.03,9085.03,9085.03,9085.03,0,0,0
1998-07-08,9174.96,9174.96,9174.96,9174.96,0,0,0
1998-07-09,9089.77,9089.77,9089.77,9089.77,0,0,0
1998-07-10,9105.73,9105.73,9105.73,9105.73,0,0,0
1998-07-16,9328.18,9328.18,9328.18,9328.18,0,0,0
1998-07-20,9295.74,9295.74,9295.74,9295.74,0,0,0
1998-07-21,9190.18,9190.18,9190.18,9190.18,0,0,0
1998-07-23,8932.97,8932.97,8932.97,8932.97,0,0,0
1998-07-24,8937.35,8937.35,8937.35,8937.35,0,0,0
1998-07-29,8914.95,8914.95,8914.95,8914.95,0,0,0
1998-08-03,8786.73,8786.73,8786.73,8786.73,0,0,0
1998-08-06,8577.67,8577.67,8577.67,8577.67,0,0,0
1998-08-10,8574.84,8574.84,8574.84,8574.84,0,0,0
1998-08-11,8462.84,8462.84,8462.84,8462.84,0,0,0
1998-08-17,8574.84,8574.84,8574.84,8574.84,0,0,0
1998-08-18,8714.64,8714.64,8714.64,8714.64,0,0,0
1998-08-20,8611.4,8611.4,8611.4,8611.4,0,0,0
1998-08-24,8566.6,8566.6,8566.6,8566.6,0,0,0
1998-08-31,7539.06,7539.06,7539.06,7539.06,0,0,0
1998-09-01,7827.42,7827.42,7827.42,7827.42,0,0,0
1998-09-02,7782.37,7782.37,7782.37,7782.37,0,0,0
1998-09-10,7615.55,7615.55,7615.55,7615.55,0,0,0
1998-09-11,7795.5,7795.5,7795.5,7795.5,0,0,0
1998-09-16,8089.78,8089.78,8089.78,8089.78,0,0,0
1998-09-18,7895.65,7895.65,7895.65,7895.65,0,0,0
1998-09-24,8001.98,8001.98,8001.98,8001.98,0,0,0
1998-09-28,8108.83,8108.83,8108.83,8108.83,0,0,0
1998-09-29,8080.52,8080.52,8080.52,8080.52,0,0,0
1998-10-02,7784.7,7784.7,7784.7,7784.7,0,0,0
1998-10-05,7726.24,7726.24,7726.24,7726.24,0,0,0
1998-10-07,7741.7,7741.7,7741.7,7741.7,0,0,0
1998-10-09,7899.53,7899.53,7899.53,7899.53,0,0,0
1998-10-14,7968.79,7968.79,7968.79,7968.79,0,0,0
1998-10-30,8592.11,8592.11,8592.11,8592.11,0,0,0
1998-11-02,8706.15,8706.15,8706.15,8706.15,0,0,0
1998-11-10,8863.97,8863.97,8863.97,8863.97,0,0,0
1998-11-12,8829.75,8829.75,8829.75,8829.75,0,0,0
